"name","description","units","default_value","distribution","uncertainty_level","dispersion","minimum","maximum","notes"
"bes_capital_cost","BES capital cost","$/kW","3000","log-normal","medium",0.198042200435365,0,5328.8131156889,"Medium Priority. Differ significantly due to local labor/material costs."
"bes_om_factor","BES O&M factor","fraction","0.04","uniform","medium",NA,0.026143593539449,0.053856406460551,"Medium Priority. Highly labor-dependent."
"ff_c_intensity","Fossil fuel carbon intensity","tCO2eq/GJ","0.00333333333333333","uniform","medium",NA,0.00217863279495408,0.00448803387171258,""
"use_flat_ci","Use flat carbon intensity","logical","FALSE","none","medium",NA,NA,NA,""
"flat_ci_tCO2_GJ","Flat carbon intensity value","tCO2eq/GJ","0.00333333333333333","uniform","medium",NA,0.00217863279495408,0.00448803387171258,""
"optimize_scale","Optimize plant scale","logical","FALSE","none","medium",NA,NA,NA,""
"plant_sizes_mw_th","Available plant sizes","MWth","5,25,50,100,250,500","none","medium",NA,NA,NA,""
"rebound","Rebound effect","fraction","0","uniform","medium",NA,0,0,""
"beccs_available","Is BECCS available","logical","TRUE","none","medium",NA,NA,NA,""
"beccs_eff_penalty","BECCS efficiency penalty","fraction","0.08","uniform","medium",NA,0.052287187078898,0.107712812921102,""
"ccs_cc","CCS capital cost","$/kW","500","log-normal","medium",0.198042200435365,0,888.135519281484,""
"beccs_seq_fraction","BECCS sequestration fraction","fraction","0.9","uniform","medium",NA,0.588230854637602,1,""
"beccs_efficiency","BECCS efficiency","fraction","0.28","uniform","medium",NA,0.183005154776143,0.376994845223857,""
"capture_rate","CO2 capture rate","fraction","0.9","uniform","medium",NA,0.588230854637602,1,"Validation needed: Real-world data is sparse. Recommend sensitivity analysis (85-95%)."
"ccs_distance","CCS transport distance","km","100","log-normal","medium",0.198042200435365,0,177.627103856297,""
"ccs_storage_cost","CCS injection/monitoring cost","$/Mg CO2","15","log-normal","medium",0.198042200435365,0,26.6440655784445,"High Priority. Geologic storage costs vary drastically. Consider spatial raster."
"beccs_capital_cost","BECCS capital cost","$/kW","4000","log-normal","medium",0.198042200435365,0,7105.08415425188,"Medium Priority. Differ significantly due to local labor/material costs."
"beccs_om_factor","BECCS O&M factor","fraction","0.05","uniform","medium",NA,0.0326794919243112,0.0673205080756888,"Medium Priority. Highly labor-dependent."
"early_adoption","BECCS early adoption scenario","logical","FALSE","none","medium",NA,NA,NA,""
"allow_eor","Allow Enhanced Oil Recovery","logical","FALSE","none","medium",NA,NA,NA,""
"py_temp","Pyrolysis temperature","°C","500","uniform","medium",NA,326.794919243112,673.205080756888,""
"py_life","Pyrolysis project lifetime","years","20","none","medium",NA,NA,NA,""
"py_cc","Pyrolysis capital cost","$/kW","500","log-normal","medium",0.198042200435365,0,888.135519281484,""
"lignin","Lignin fraction","fraction","0.2","uniform","medium",NA,0.130717967697245,0.269282032302755,""
"time_frame","Time frame for stability","years","100","none","medium",NA,NA,NA,""
"bc_stab_factor","Biochar stability factor","factor","4.6","uniform","medium",NA,3.00651325703663,6.19348674296337,"Validation needed: Ensure aligns with IPCC or verified carbon standard methodologies."
"bebcs_energy_mode","BEBCS energy mode (power/heat)","character","power","none","none",NA,NA,NA,""
"bebcs_power_efficiency","BEBCS power efficiency","fraction","0.35","uniform","medium",NA,0.228756443470179,0.471243556529821,""
"bebcs_power_capital_cost","BEBCS power capital cost","$/kW","1500","log-normal","medium",0.198042200435365,0,2664.40655784445,""
"bebcs_power_om_factor","BEBCS power O&M factor","fraction","0.05","uniform","low",NA,0.0456698729810778,0.0543301270189222,""
"bebcs_power_life","BEBCS power plant life","years","25","none","none",NA,NA,NA,""
"bebcs_heat_efficiency","BEBCS heat efficiency","fraction","0.8","uniform","medium",NA,0.52287187078898,1,""
"bebcs_heat_capital_cost","BEBCS heat capital cost","$/kWth","400","log-normal","medium",0.198042200435365,0,710.508415425187,""
"bebcs_heat_om_factor","BEBCS heat O&M factor","fraction","0.03","uniform","low",NA,0.0274019237886467,0.0325980762113533,""
"bebcs_heat_life","BEBCS heat plant life","years","25","none","none",NA,NA,NA,""
"heat_price","Heat sale price","$/MWh","30","normal","high",12,0,66,""
"heat_c_intensity","Heat carbon offset intensity","tCO2eq/GJ","0.08","uniform","medium",NA,0.052287187078898,0.107712812921102,""
"bc_cce","Calcium Carbonate Equivalent","fraction","0.15","uniform","medium",NA,0.0980384757729337,0.201961524227066,"Validation needed: Does 15% hold true globally, or should it scale with bm_ash?"
"bc_n_content","Biochar Nitrogen content","fraction","0.005","uniform","medium",NA,0.00326794919243112,0.00673205080756888,""
"bc_p_content","Biochar Phosphorus content","fraction","0.002","uniform","medium",NA,0.00130717967697245,0.00269282032302755,""
"bc_k_content","Biochar Potassium content","fraction","0.005","uniform","medium",NA,0.00326794919243112,0.00673205080756888,""
"ag_impact_duration","Agronomic impact duration","years","10","uniform","medium",NA,6.53589838486225,13.4641016151378,"Medium Priority. Duration depends heavily on local climate and soil. 10-year flat assumption poorly validated."
"bc_ag_value","Biochar agronomic value","$/Mg","0","normal","medium",0,0,0,""
"bc_valuation_method","Biochar valuation method","character","advanced_mechanistic","none","medium",NA,NA,NA,""
"h_c_org","H:C organic molar ratio","ratio","0.35","uniform","medium",NA,0.228756443470179,0.471243556529821,""
"n_app_rate","Nitrogen application rate","kg/ha","100","normal","medium",20,40,160,""
"n2o_factor","N2O emission factor","fraction","0.01","uniform","medium",NA,0.00653589838486225,0.0134641016151378,"Validation needed: Ensure model accounts for biochar-induced N2O suppression."
