name,description,units,default_value,distribution,uncertainty_level,dispersion,minimum,maximum,notes,category,type,US,Europe,China,India
py_temp,Pyrolysis temperature,°C,500,uniform,medium,NA,326.794919243112,673.205080756888,,Biochar & Agronomic,parameter,500,500,500,500
target_ph,Target agricultural soil pH,pH,6.5,none,medium,NA,NA,NA,,Biochar & Agronomic,parameter,6.5,6.5,6.5,6.5
time_frame,Time frame for stability,years,100,none,medium,NA,NA,NA,,Biochar & Agronomic,parameter,100,100,100,100
gj_to_mwh,Conversion factor from GJ to MWh,ratio,0.277778,none,medium,NA,NA,NA,,Constants,constant,0.277778,0.277778,0.277778,0.277778
kg_to_mg,Conversion factor from kg to Mg,ratio,1000,none,medium,NA,NA,NA,,Constants,constant,1000,1000,1000,1000
molar_ratio_co2_c,Molar ratio of CO2 to C,ratio,3.66666666666667,none,medium,NA,NA,NA,,Constants,constant,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667
allow_eor,Allow Enhanced Oil Recovery,logical,FALSE,none,medium,NA,NA,NA,,Control Flags,control_flag,FALSE,FALSE,FALSE,FALSE
bc_valuation_method,Biochar valuation method,character,advanced_mechanistic,none,medium,NA,NA,NA,,Control Flags,control_flag,advanced_mechanistic,advanced_mechanistic,advanced_mechanistic,advanced_mechanistic
beccs_available,Is BECCS available,logical,TRUE,none,medium,NA,NA,NA,,Control Flags,control_flag,TRUE,TRUE,TRUE,TRUE
early_adoption,BECCS early adoption scenario,logical,FALSE,none,medium,NA,NA,NA,,Control Flags,control_flag,FALSE,FALSE,FALSE,FALSE
optimize_scale,Optimize plant scale,logical,FALSE,none,medium,NA,NA,NA,,Control Flags,control_flag,FALSE,FALSE,FALSE,FALSE
sink_is_offshore,Is the CO2 sink offshore?,logical,FALSE,none,medium,NA,NA,NA,,Control Flags,control_flag,FALSE,FALSE,FALSE,FALSE
use_flat_ci,Use flat carbon intensity,logical,FALSE,none,medium,NA,NA,NA,,Control Flags,control_flag,FALSE,FALSE,FALSE,FALSE
bm_ash,Biomass ash content,fraction,0.05,normal,medium,0.01,0.02,0.08,Medium Priority. Varies by regional feedstock.,Feedstock & Logistics,parameter,0.05,0.05,0.15,0.15
bm_c,Carbon fraction of biomass,fraction,0.48,normal,medium,0.096,0.192,0.768,,Feedstock & Logistics,parameter,0.48,0.48,0.48,0.48
bm_feed_rate,Biomass feed rate,kg/hr,250,normal,medium,50,100,400,,Feedstock & Logistics,parameter,250,250,250,250
bm_h2o,Biomass moisture content,fraction,0.1,normal,medium,0.02,0.04,0.16,,Feedstock & Logistics,parameter,0.1,0.1,0.1,0.1
bm_lhv,Biomass lower heating value,GJ/Mg,18.6,normal,medium,3.72,7.44,29.76,"Medium Priority. Varies by regional feedstock (e.g., rice straw vs corn stover).",Feedstock & Logistics,parameter,18.6,18.6,18.6,18.6
bm_transport_fixed,Fixed transport cost (Loading/Handling),$/Mg,5,normal,medium,1,2,8,,Feedstock & Logistics,parameter,5,5,5,5
bm_transport_var,Variable transport cost (Trucking),$/Mg/km,0.15,normal,medium,0.03,0.06,0.24,,Feedstock & Logistics,parameter,0.15,0.15,0.15,0.15
lignin,Lignin fraction,fraction,0.2,uniform,medium,NA,0.130717967697245,0.269282032302755,,Feedstock & Logistics,parameter,0.2,0.2,0.2,0.2
transport_emissions_factor,Heavy-duty truck emissions,Mg CO2e / Mg.km,0.0001,none,medium,NA,NA,NA,,Feedstock & Logistics,parameter,0.0001,0.0001,0.0001,0.0001
bes_life,BES project lifetime,years,30,none,medium,NA,NA,NA,,Financial & Market,parameter,30,30,30,30
c_price,Carbon price,$/tCO2e,50,normal,medium,10,20,80,,Financial & Market,parameter,50,50,50,50
capacity_factor,Annual plant capacity utilization,fraction,0.85,none,medium,NA,NA,NA,,Financial & Market,parameter,0.85,0.85,0.85,0.85
discount_rate,Discount rate,fraction,0.08,uniform,medium,NA,0.052287187078898,0.107712812921102,High Priority. Cost of capital varies wildly by country risk profiles.,Financial & Market,parameter,0.05,0.045,0.045,0.1
elec_price,Electricity price,$/MWh,100,normal,medium,20,40,160,,Financial & Market,parameter,NA,NA,NA,NA
ff_c_intensity,Fossil fuel carbon intensity,tCO2eq/GJ,0.00333333333333333,uniform,medium,NA,0.00217863279495408,0.00448803387171258,,Financial & Market,parameter,NA,NA,NA,NA
flat_ci_tCO2_GJ,Flat carbon intensity value,tCO2eq/GJ,0.00333333333333333,uniform,medium,NA,0.00217863279495408,0.00448803387171258,,Financial & Market,parameter,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333
O_M_factor,Operations & Maintenance,% of Capex,0.04,uniform,medium,NA,0.026143593539449,0.053856406460551,,Financial & Market,parameter,0.04,0.04,0.04,0.04
plant_sizes_mw_th,Available plant sizes,MWth,"5,25,50,100,250,500",none,medium,NA,NA,NA,,Financial & Market,parameter,"5,25,50,100,250,500","5,25,50,100,250,500","5,25,50,100,250,500","5,25,50,100,250,500"
rebound,Rebound effect,fraction,0,uniform,medium,NA,0,0,,Financial & Market,parameter,0,0,0,0
scaling_factor,Capital cost scale exponent,dimensionless,0.7,none,medium,NA,NA,NA,,Financial & Market,parameter,0.7,0.7,0.7,0.7
wholesale_discount_factor,Ratio of Wholesale to Retail,ratio,0.4,uniform,medium,NA,0.26143593539449,0.53856406460551,,Financial & Market,parameter,0.4,0.4,0.4,0.4
avg_dist,Average collection distance,km,NA,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,NA,NA,NA,NA
collection_radius,Collection radius,km,50,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,50,50,50,50
dist_offshore,Distance to offshore sink,km,NA,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,NA,NA,NA,NA
dist_onshore,Distance to onshore sink,km,NA,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,NA,NA,NA,NA
dist_sink_km,Distance to EOR sink,km,NA,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,NA,NA,NA,NA
dist_sink_saline_km,Distance to saline sink,km,NA,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,NA,NA,NA,NA
feedstock_cost,Feedstock purchase cost,$/Mg,0,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,0,0,0,0
soil_cec,Cation Exchange Capacity,cmol / kg,20,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,20,20,20,20
soil_ph,Native topsoil pH,pH,NA,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,NA,NA,NA,NA
soil_temp,Mean annual soil temperature,C,14.9,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,14.9,14.9,14.9,14.9
tortuosity,Road tortuosity factor,ratio,1.3,none,medium,NA,NA,NA,,Spatial & Environmental,parameter,1.3,1.3,1.3,1.3
plant_mw_th,Plant thermal capacity,MWth,50,none,medium,NA,NA,NA,,Technology & Thermodynamics,parameter,250,250,250,250
